accuracy,macro_f1,neutral_f1,negative_f1,negative_recall,positive_f1,feature_group,fold
0.700594353640416,0.5403569359299741,0.4292845257903494,0.36283185840707965,0.45054945054945056,0.8289544235924933,Text-only,1
0.725111441307578,0.5789998780018678,0.4744645799011532,0.4200913242009132,0.5054945054945055,0.842443729903537,Text-only,2
0.7154531946508172,0.557658986451988,0.43521594684385384,0.39805825242718446,0.45054945054945056,0.8397027600849257,Text-only,3
0.7154531946508172,0.5614111324384211,0.43316412859560066,0.4131455399061033,0.4835164835164835,0.8379237288135594,Text-only,4
0.7221396731054978,0.5513196554708096,0.4560810810810811,0.35294117647058826,0.391304347826087,0.8449367088607594,Text-only,5
0.7102526002971769,0.5538029365637528,0.43234323432343236,0.39090909090909093,0.4725274725274725,0.8381564844587353,Text + lexicon,1
0.7295690936106983,0.5856457764394611,0.48172757475083056,0.43119266055045874,0.5164835164835165,0.844017094017094,Text + lexicon,2
0.7199108469539376,0.5555456727278809,0.4444444444444444,0.3786407766990291,0.42857142857142855,0.8435517970401691,Text + lexicon,3
0.712481426448737,0.5600911239204173,0.43844856661045534,0.4052863436123348,0.5054945054945055,0.8365384615384616,Text + lexicon,4
0.7295690936106983,0.5741619631740029,0.4572425828970332,0.4186046511627907,0.4891304347826087,0.8466386554621849,Text + lexicon,5
0.8410104011887073,0.7306193566489988,0.6499162479061976,0.6169154228855721,0.6813186813186813,0.925026399155227,Text + aspect,1
0.836552748885587,0.7424827747025479,0.6536585365853659,0.6596858638743456,0.6923076923076923,0.9141039236479321,Text + aspect,2
0.836552748885587,0.7329347784586062,0.6365159128978225,0.6428571428571429,0.6923076923076923,0.919431279620853,Text + aspect,3
0.8528974739970282,0.7537944618236588,0.6666666666666666,0.6666666666666666,0.7142857142857143,0.9280500521376434,Text + aspect,4
0.8194650817236255,0.7246070693439114,0.6136363636363636,0.6564102564102564,0.6956521739130435,0.9037745879851143,Text + aspect,5
0.8417533432392273,0.7346541045627805,0.6498316498316499,0.63,0.6923076923076923,0.9241306638566913,Text + lexicon + aspect,1
0.8387815750371471,0.7420980053390768,0.6534653465346535,0.65625,0.6923076923076923,0.9165786694825766,Text + lexicon + aspect,2
0.8417533432392273,0.7424067354677462,0.6500829187396352,0.656084656084656,0.6813186813186813,0.9210526315789473,Text + lexicon + aspect,3
0.850668647845468,0.7395888483597961,0.6537102473498233,0.6336633663366337,0.7032967032967034,0.9313929313929314,Text + lexicon + aspect,4
0.8216939078751857,0.7355913092755197,0.6168831168831169,0.6871794871794872,0.7282608695652174,0.9027113237639554,Text + lexicon + aspect,5
0.8439821693907875,0.7488485538800047,0.6531302876480541,0.6697674418604651,0.7912087912087912,0.9236479321314952,Aspect ratings only,1
0.8291233283803864,0.7430396508250591,0.6401273885350318,0.6798029556650246,0.7582417582417582,0.9091886082751209,Aspect ratings only,2
0.8313521545319466,0.732509581796806,0.6241610738255033,0.6571428571428571,0.7582417582417582,0.9162248144220573,Aspect ratings only,3
0.8417533432392273,0.7393118772442175,0.6390328151986183,0.6542056074766355,0.7692307692307693,0.9246972090573986,Aspect ratings only,4
0.8224368499257058,0.730087159372175,0.6199021207177814,0.6635071090047393,0.7608695652173914,0.9068522483940042,Aspect ratings only,5
