config,macro_f1,macro_f1_std,neutral_f1,neutral_f1_std,negative_f1,negative_f1_std,negative_recall,negative_recall_std,accuracy,accuracy_std
class_weight='balanced',0.5579493176586121,0.012717223440317359,0.4456420524424076,0.017156237044765325,0.38941363028237375,0.026891948288132694,0.4562828475871954,0.03860416380211942,0.7157503714710253,0.00846562825155669
SMOTE (không trọng số lớp),0.5599818965473986,0.02053150563146556,0.43398985939751633,0.02060953463919864,0.39885279416137476,0.047917498447499596,0.4409698996655519,0.05473986906504422,0.7263001485884102,0.009806835066864777
Không xử lý,0.4621511758124912,0.01692969629465758,0.3508395666084152,0.029431341648731343,0.16462909195633355,0.022773427343216184,0.09209268991877687,0.013085937100396024,0.7676077265973253,0.00815749018205696
