feature_group,macro_f1,macro_f1_std,neutral_f1,neutral_f1_std,negative_f1,negative_f1_std,negative_recall,negative_recall_std,accuracy,accuracy_std
Text-only,0.5579493176586121,0.012717223440317359,0.4456420524424076,0.017156237044765325,0.38941363028237375,0.026891948288132694,0.4562828475871954,0.03860416380211942,0.7157503714710253,0.00846562825155669
Text + lexicon,0.565849494565103,0.01221013551962201,0.4508412806052392,0.017502093739592127,0.4049267045867409,0.018785949555919664,0.48244147157190637,0.030774386536732406,0.7203566121842496,0.00817371324783062
Text + aspect,0.7368876881955446,0.010226192474993236,0.6440787455384832,0.01799998924840334,0.6485070705387967,0.017590625816829315,0.6951743908265647,0.010713426788857307,0.837295690936107,0.010735448361479013
Text + lexicon + aspect,0.7388678006009839,0.0032239361724415243,0.6447946558677758,0.01405033586076547,0.6526355019201553,0.02044776786934708,0.6994983277591973,0.015972610863362473,0.8389301634472511,0.00949571786548022
Aspect ratings only,0.7387593646236525,0.006851055237243764,0.6352707371849978,0.011969317675928726,0.6648851942299443,0.009189912119701224,0.7675585284280937,0.01249382216251125,0.8337295690936107,0.008048500780951469
