Accuracy,Macro F1,Weighted F1,Negative Precision,Negative Recall,Negative F1,Số dự đoán Negative,Threshold
0.726678550207962,0.45610608075209963,0.6947992993429578,0.2521489971346705,0.7719298245614035,0.3801295896328294,349,0.1
0.7433155080213903,0.49239532608086695,0.7145982285633437,0.28222996515679444,0.7105263157894737,0.40399002493765584,287,0.12
0.7569815805109923,0.5240112994350282,0.7284610814022578,0.325,0.6842105263157895,0.4406779661016949,240,0.14
0.7617349970291146,0.5349071191205629,0.7350053146602902,0.3448275862068966,0.6140350877192983,0.4416403785488959,203,0.16
0.768270944741533,0.5544593870348881,0.7438635141599383,0.3793103448275862,0.5789473684210527,0.4583333333333333,174,0.18
0.7694592988710636,0.5537013858971197,0.7453262666735562,0.38961038961038963,0.5263157894736842,0.44776119402985076,154,0.2
0.7706476530005941,0.5542399883415952,0.7469872589075925,0.39855072463768115,0.4824561403508772,0.4365079365079365,138,0.22
0.7724301841948901,0.5573701024800227,0.7493163689970775,0.4094488188976378,0.45614035087719296,0.4315352697095436,127,0.24
0.7724301841948901,0.5534714489764395,0.7497331941721513,0.41818181818181815,0.40350877192982454,0.4107142857142857,110,0.26
0.7724301841948901,0.5510547696209182,0.7499806755501836,0.42857142857142855,0.3684210526315789,0.39622641509433965,98,0.28
0.7730243612596553,0.5507041597169341,0.7505235996384059,0.4444444444444444,0.3508771929824561,0.39215686274509803,90,0.3
0.7736185383244206,0.54819039463841,0.7509597003490188,0.45121951219512196,0.32456140350877194,0.37755102040816324,82,0.32
0.7736185383244206,0.5449298443823364,0.7506896202070908,0.45454545454545453,0.30701754385964913,0.36649214659685864,77,0.34
0.7724301841948901,0.5402685683274844,0.7492022035628886,0.4647887323943662,0.2894736842105263,0.3567567567567568,71,0.36
0.7754010695187166,0.5472698370220149,0.7526820985527386,0.5079365079365079,0.2807017543859649,0.3615819209039548,63,0.38
0.7771836007130125,0.5522294947256051,0.7547891636600577,0.5333333333333333,0.2807017543859649,0.367816091954023,60,0.4
0.7771836007130125,0.5509472900209951,0.7547061636445918,0.543859649122807,0.2719298245614035,0.36257309941520466,57,0.42
0.7765894236482471,0.5474938685641176,0.7539117874096426,0.5357142857142857,0.2631578947368421,0.35294117647058826,56,0.44
0.7765894236482471,0.5474938685641176,0.7539117874096426,0.5357142857142857,0.2631578947368421,0.35294117647058826,56,0.46
0.7765894236482471,0.5474938685641176,0.7539117874096426,0.5357142857142857,0.2631578947368421,0.35294117647058826,56,0.48
0.7765894236482471,0.5474938685641176,0.7539117874096426,0.5357142857142857,0.2631578947368421,0.35294117647058826,56,0.5
